Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,life expentancy at birth,women peace and security index,Military expenditure %ofEconomy,Unemployment rate,prevalence of undernourishment by %,death rate from obesity
Cameroon,2017,26th,95.6,7.9,9.1,8.3,6.6,7.6,7.6,8.4,8.7,7.5,8.1,8,7.8,58.511,0.548,1.316594186,4.242000103,9.9,90.76471031
Liberia,2017,27th,93.8,6.4,8.3,5.8,8.1,8.4,7.2,6.8,9.3,6.5,9,8.7,9.3,63.295,0.588,0.638154206,2.388999939,37.2,70.63547375
Mauritania,2017,28th,93.7,6.9,8.8,7,7.7,6.8,6.9,8,9,7.9,8.7,8,8,64.464,0.566,,9.876999855,10.4,82.12459728
Congo Republic,2017,29th,93.4,7.2,6.7,7.2,7,8.1,7.4,8.9,9.5,8.5,8.1,7.7,7.1,,0.559,,,,
North Korea,2017,30th,93.3,8.3,8.5,5.8,8.9,7.5,4.4,10,8.6,9.4,7.7,4.4,9.8,,,,4.776000023,47.8,26.05534974
Mali,2017,31st,92.9,9,4.9,7.4,7.7,7.4,8.5,6.1,8.8,7.3,8.5,7.9,9.4,58.452,0.505,3.054093748,7.910999775,6.3,44.85693237
Angola,2017,32nd,91.1,6.5,7.2,7.5,6.4,9.9,6.6,8.6,9.1,7.3,9.5,7.1,5.4,60.379,0.575,2.201338138,8.166999817,25,59.41102052
Nepal,2017,33rd,91,6.5,8.8,9.4,7.5,6.7,6.5,7.4,7.2,7.7,8.6,7.8,6.9,70.169,0.672,1.55275227,2.736000061,8.7,42.48550694
Rwanda,2017,34th,90.8,6.2,8,9.4,6,8.3,7.4,7.1,7.4,7.2,8,8.3,7.5,68.341,0.662,0.97451729,1.297000051,36.8,39.11513907
Timor-Leste,2017,35th,90.5,7.2,8.3,6.5,7.9,6.8,7.6,6.9,8.5,5.3,9.7,6.3,9.5,69.007,,,,,
Egypt,2017,36th,89.8,8.1,8.8,8.8,8.2,6,4.7,8.2,4.9,9.8,7.1,7.3,7.9,,0.559,1.285923707,12.07900047,4.5,187.327065
Gambia,2017,37th,89.4,6.3,7.8,3.8,8.4,6.9,8.3,8.6,7.8,9.4,8.3,6.8,7,,,,9.449999809,10.2,81.47852808
Sierra Leone,2017,38th,89.3,4.3,7.8,6.2,8.6,8.3,8.5,6.9,8.8,5.3,9,7.7,7.9,53.895,0.563,0.723329849,4.47300005,25.6,62.70784078
Bangladesh,2017,39th,89.1,7.6,9.3,8.7,5.8,6.7,7.8,7.8,8.1,7.4,7.5,6.6,5.8,72.052,0.585,1.380750414,4.367000103,14.7,30.96846562
Mozambique,2017,40th,89,6.7,6.6,5.4,8,8.8,8,6.5,9.7,5.6,9.9,5.8,8,59.309,0.628,0.814664612,25.04100037,27.9,59.13741318
Djibouti,2017,41st,88.9,6.5,7.3,6.5,7,7.9,5.4,8.2,7.9,7.8,8.4,7.3,8.7,65.893,,,5.809999943,18.9,71.26551423
Swaziland,2017,42nd,88.8,6.3,6.8,3.4,9.7,8.2,7.2,8.8,8.1,9.1,9.4,4.7,7.1,,0.575,1.752852965,26.39599991,20.6,209.1493391
Lebanon,2017,43rd,88.2,8.7,9.3,8.5,6.4,5.6,5,7.6,5.7,7.4,5.6,9.3,9.1,78.833,0.547,4.513849134,6.640999794,11,118.4909289
Burkina Faso,2017,44th,88,8.4,7.8,4.5,6.3,8.2,7.5,7.1,8.7,6.1,9.3,6.6,7.5,60.768,0.609,1.436230291,6.303999901,20,57.01515061
Malawi,2017,44th,88,4.8,8.1,5.6,8.4,8.3,7.9,6.4,8.6,6.2,9.7,5.8,8.2,63.279,0.591,0.77018156,5.897999763,17.5,51.03236702
Zambia,2017,46th,87.8,4.6,6.2,5.9,7.9,9.2,7.9,7.7,7.9,7.4,9.5,6.4,7.2,63.043,0.625,1.341520288,7.791999817,46.7,55.13541533
Sri Lanka,2017,47th,86.6,7.4,8.8,9,5.4,7.1,7.7,6.9,5.1,8.3,6.2,8.4,6.3,76.648,0.656,2.171972029,4.078999996,9,51.27137847
Papua New Guinea,2017,48th,86.4,7.2,7.1,6.3,6.1,9.1,7.4,6.8,9,7.6,7.8,5.2,6.8,64.01,,0.487510467,2.661999941,,143.8602547
Iran,2017,49th,85.8,7.5,9.6,9.3,6.4,5.6,6.5,9,4.5,9.5,4.9,6.5,6.5,,0.619,3.099259349,12.51599979,4.9,83.41424373
Cambodia,2017,50th,85.7,6.7,8.3,6.9,5.7,6.6,7.6,8.3,7.8,7.7,7,5.7,7.4,69.289,0.66,2.087211312,0.216000006,16.4,33.07378454
Equatorial Guinea,2017,51st,85,6.5,8.2,6.3,6.5,8.7,5.5,9.8,7.9,9.2,7.5,3.9,5,58.061,,,6.914000034,,82.39904737
Comoros,2017,52nd,84.8,6.7,8,5.4,8,7.5,7.4,7.3,8.2,6.3,7.3,4.7,8,63.912,0.583,,4.34100008,,52.40274903
Solomon Islands,2017,52nd,84.8,5.9,8.2,6.5,7.1,9,6.9,6.8,7.7,5.2,8.5,4.4,8.6,72.645,,,2.049999952,8.9,140.7833188
Philippines,2017,54th,84.4,9.7,8,7.9,5.5,5.7,6.5,7,6.7,6.6,7.5,6.9,6.4,70.952,0.702,1.390559083,2.345999956,13.3,94.52131832
Madagascar,2017,55th,84,7.1,7.8,4.1,7.6,9.1,6.7,7.1,9.1,5.6,9.1,3.9,6.8,66.311,0.576,0.58529122,1.797000051,44.4,56.7231307
