Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,life expentancy at birth,women peace and security index,Military expenditure %ofEconomy,Unemployment rate,prevalence of undernourishment by %,death rate from obesity
South Korea,2017,154th,38.1,2.1,4.3,2.9,2,3,3.9,4.4,1.9,2.9,3.1,2,5.6,,,2.554897599,3.730000019,,19.68041215
Spain,2017,155th,37.9,2.8,6.3,5.7,5.2,3.5,1.9,2.8,2.2,1.8,2,1.9,1.8,83.28292683,0.86,1.242562307,17.21999931,,36.36572773
Japan,2017,156th,37.4,1.6,2.6,3.7,4.1,1.6,3.2,1.2,2.2,3,6,4.4,3.8,84.0997561,0.798,0.934960014,2.829999924,,14.41708212
Uruguay,2017,157th,36.8,3.8,2.7,2.5,3.6,4.1,4.4,1,2.9,2.8,3.8,2.5,2.7,77.632,0.714,2.051628487,7.889999866,,62.5916975
United States,2017,158th,35.6,3.2,5.3,6,2.4,4.3,1.7,1.9,1.6,3.2,2.8,2,1.2,78.53902439,0.81,3.149221576,4.360000134,,71.95058004
France,2017,159th,33.5,3.3,1.9,7,4.3,3.2,2.2,1.3,1.1,2.1,2.8,2.5,1.8,82.52682927,0.817,2.255228621,9.399999619,,28.03139458
United Kingdom,2017,160th,33.2,2.7,4.5,6.4,3.6,3.6,2.1,1.5,1.6,1.7,2.4,2.1,1,81.25609756,0.845,1.834836771,4.329999924,,41.79403256
Singapore,2017,161st,32.5,1.6,4,2.6,2,3.8,3.3,3.9,1.3,4.6,2.5,1.7,1.2,83.09512195,0.846,3.321161651,2.023999929,,22.62171152
Slovenia,2017,162nd,32.4,1.6,1.7,4.5,3.8,3.4,3.1,2.7,1.5,1.5,2.3,4,2.3,81.02926829,0.861,0.998213669,6.559999943,,53.08172134
Belgium,2017,163rd,30.8,2.4,4.4,4.9,4.2,2.7,1.6,1.4,2.3,1.5,2,2.4,1,81.49268293,0.846,0.909485094,7.090000153,,34.49544451
Portugal,2017,164th,29,1.3,2.5,2.5,5.3,2.5,2.2,1.6,2.2,1.8,2.1,2.2,2.8,81.42439024,0.822,1.73364325,8.869999886,,40.76666466
Germany,2017,165th,28.1,2.1,2.3,5,2.2,2.8,2.1,1,1.1,1.1,2,5.4,1,80.99268293,0.845,1.220135871,3.75,,48.68925205
Austria,2017,166th,27.7,1,3.2,4.5,2.2,2.9,1.5,1.4,1.1,1.2,1.9,5.6,1.2,81.64390244,0.841,0.729355232,5.5,,45.23190183
Netherlands,2017,167th,27.4,1.5,3.1,4.5,2.7,2.2,2.6,1.3,1,1,2.5,3.8,1.2,81.76097561,0.854,1.225072121,4.840000153,,33.37120591
Luxembourg,2017,168th,23.4,1.7,3.4,3.1,1.2,1.6,2.1,1,2.1,1,1.6,3.5,1.1,82.09512195,0.841,0.506057733,5.519999981,,41.83468757
Canada,2017,169th,22.6,2.2,2.5,3.4,1.8,2.5,1.7,1,1.5,1.3,1.9,1.8,1,81.94878049,0.854,1.253960038,6.340000153,,45.21448765
New Zealand,2017,170th,22.6,1.2,1.4,3.6,3.6,2.3,2.1,0.9,1.4,1,2.1,1.8,1.2,81.65853659,0.826,1.158444225,4.881000042,,44.6705772
Iceland,2017,171st,22.5,1,1.8,1.3,3.3,1.1,2.8,1.3,1.2,1,1.6,2,4.1,82.66097561,0.886,,2.75,,38.89477721
Australia,2017,172nd,22.3,2.1,1.7,3.9,1.7,2.2,1.3,1,1.5,2.3,1.3,2.3,1,82.5,0.827,1.989292632,5.590000153,,44.11332155
Ireland,2017,172nd,22.3,2.1,1.5,1.4,3.4,2.2,2.8,1,1.4,1.4,1.7,2,1.4,82.15609756,0.823,0.35678059,6.399000168,,37.49657816
Sweden,2017,174th,22.1,2.1,1.8,1.5,1.8,1.8,1.5,1,1.1,1.1,2,5.3,1.1,82.4097561,0.854,1.025253898,6.71999979,,36.55458423
Denmark,2017,175th,21.5,1.7,1.4,4.4,2,1.6,1.9,0.9,1,1.5,2,2.1,1,81.10243902,0.845,1.174356353,5.739999771,,34.35149912
Switzerland,2017,176th,21.1,1.1,1,3.6,2.3,2.2,2.1,1,1,1.8,1.5,2.5,1,83.55121951,0.871,0.683630213,4.800000191,,28.4534651
Norway,2017,177th,20.5,2,1.1,3.6,2.2,1.5,1.6,0.8,1,1.1,1.5,2.8,1.3,82.6097561,0.879,1.643375913,4.159999847,,31.84103011
Finland,2017,178th,0,1.7,1.1,1.8,3.5,1,2.3,0.9,1,1,1.1,2.3,1,81.63170732,0.855,1.437758424,8.640000343,,45.31262945
